epoch,acc,loss,val_acc,val_loss
0,0.3,1.0484637022018433,0.5,1.3465016659349203
1,0.8,0.7737705111503601,0.5,7.109249235362421
2,0.5,4.106744289398193,0.5,1.4126932866871358
3,0.9,0.1390402615070343,0.5,1.0759505078196525
4,1.0,0.0017489498713985085,0.5,1.203895454853773
5,1.0,0.012246701866388321,0.5,1.1319385431706905
6,1.0,0.03188912197947502,0.5,1.545662647113204
7,1.0,0.011953460052609444,0.5,1.3945289928466083
8,0.9,0.3604375422000885,0.5,2.9328350219875574
9,0.9,0.5030966997146606,0.5,1.6598309427499771
